scorer,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300
bodyparts,Hand,Hand,Hand,Finger1,Finger1,Finger1,Tongue,Tongue,Tongue,Joystick1,Joystick1,Joystick1,Joystick2,Joystick2,Joystick2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
33,373.1560654640198,447.3425455093384,0.3392627537250519,364.0537839643657,452.02874545939267,0.32150691747665405,376.81126499176025,459.867847725749,0.1474655270576477,356.9830948114395,459.7608833312988,0.402998149394989,368.5377173423767,460.00472838710994,0.23337921500205994
34,374.2532534599304,448.4984395503998,0.3037928342819214,364.6167768239975,453.05554366111755,0.34293538331985474,375.95937871932983,460.3584187030792,0.14739596843719482,355.3762000799179,459.4014868736267,0.42172837257385254,368.37419843673706,459.61121356487274,0.26639074087142944
35,451.98429365456104,457.50151324272156,0.2516857385635376,452.58571922779083,461.413188457489,0.2858273386955261,91.44470191001892,644.5664036870003,0.10507497191429138,358.50047183036804,459.58648777008057,0.2770841717720032,369.95634841918945,459.44371205568314,0.21849918365478516
36,99.14067757129669,635.3348025083542,0.20025482773780823,472.5903570652008,464.7686445713043,0.25637149810791016,471.44518280029297,460.0206975135952,0.10224789381027222,462.9498152732849,462.2055583000183,0.20983681082725525,461.83534049987793,458.8181742429733,0.19348058104515076
37,455.1921899318695,443.2548666000366,0.2538461685180664,489.5850911140442,445.03167486190796,0.32926666736602783,91.5244819521904,644.7612195611,0.11350774765014648,467.58710157871246,455.1687762737274,0.23257845640182495,490.07290291786194,464.9234571456909,0.22652855515480042
38,467.95104870945215,433.0322139263153,0.2123706042766571,486.28235125541687,443.1389554142952,0.23862650990486145,503.81339931488037,444.22555185854435,0.12136346101760864,505.7140226364136,441.6759874820709,0.2015317976474762,480.55803632736206,444.69503605365753,0.2727917432785034
39,490.91458082199097,427.7373997271061,0.20211362838745117,533.8440853357315,428.3590579032898,0.26771414279937744,90.87195026874542,644.7251856923103,0.0969567596912384,485.8515909910202,436.2441640198231,0.19155782461166382,497.07053565979004,429.5655183792114,0.20339378714561462
40,519.2245604991913,411.48415756225586,0.24764341115951538,535.9672319889069,413.05579948425293,0.3019481897354126,90.97187674045563,644.6465158462524,0.10758993029594421,531.98390282318,425.67324686050415,0.19959422945976257,362.1546239852905,677.6754688024521,0.19168585538864136
41,98.75002110004425,636.2871125638485,0.18999901413917542,564.9041955471039,404.44230487942696,0.20581623911857605,91.19326436519623,644.3521157205105,0.10096973180770874,522.9757729768753,410.786873459816,0.15039700269699097,528.9458141326904,413.3065724372864,0.21417942643165588
42,518.1681909561157,396.65537786483765,0.2708565592765808,567.3200838565826,396.1544404029846,0.25272440910339355,91.0637076497078,644.4805010855198,0.10110196471214294,516.9893524050713,408.3354597091675,0.1850411295890808,551.2523822784424,433.8044571876526,0.2080805003643036
