uid,frame,species,individual,condition,acromion.translateY,acromion.translateZ,acromion.rotateX,acromion.rotateY,acromion.rotateZ,glenoid.translateX,glenoid.translateY,glenoid.translateZ,glenoid.rotateX,glenoid.rotateY,glenoid.rotateZ,elbow.translateX,elbow.translateY,elbow.translateZ,elbow.rotateX,elbow.rotateY,elbow.rotateZ
nov1_5_t1_33,377.5581395348837,Tegu,Tegu 1,hi,-0.09948278797777915,-0.07844114129218392,14.91001071314189,7.328919365298913,5.5598595929553545,-0.005155357091080746,-0.008051644632291355,-0.0014047125158394727,-41.25646635192809,12.297020946484986,-48.000536391978144,-2.449716006375337e-15,8.92213147297725e-16,1.0552771568780029e-15,10.503003621355775,0.31105151934576997,-111.78453978142863
nov1_5_t1_34,379.90697674418607,Tegu,Tegu 1,hi,-0.10721835535889522,-0.08254091190217025,14.708198577662813,7.66347520178177,5.374507071681732,-0.00018551083299553068,-0.0002897618358475586,-5.054971975270632e-05,-41.09242754514915,12.026158013476417,-49.27229988432582,-2.4174829091681015e-15,9.854682112097243e-16,1.1131099368481043e-15,10.833464155754148,1.198091500970282,-111.65653437911182
nov1_5_t1_35,382.25581395348837,Tegu,Tegu 1,hi,-0.11520547639881566,-0.08658971105635922,14.505634908582193,7.999219417538382,5.188694705976312,0.004831760789112675,0.00754619004483113,0.0013165350804299526,-40.87294595973162,11.728575225785178,-50.469601824083846,-2.3695155008309714e-15,1.0483705940471087e-15,1.1230735610973149e-15,11.182978769184746,2.036355709843634,-111.50381919343529
nov1_5_t1_36,384.5952380952381,Tegu,Tegu 1,hi,-0.1233890674362598,-0.09056756717502382,14.303744511958424,8.333794099800393,5.003718700396314,0.009851156194539622,0.015385459195273557,0.002684197961065943,-40.61280836921649,11.41226445042936,-51.57494377917866,-2.321203549723953e-15,1.0723662015657325e-15,1.093956105304479e-15,11.542366042970421,2.838137093906269,-111.33720981992307
nov1_5_t1_37,386.95348837209303,Tegu,Tegu 1,hi,-0.13186380496612313,-0.09452264144618379,14.100406158374968,8.670716823718228,4.817630147189005,0.014915083265001084,0.0232942778795363,0.004063993817758957,-40.32061811035581,11.080358564392963,-52.584089256666815,-2.286236236994124e-15,1.0531701062370486e-15,1.0396733953696823e-15,11.908347096182572,3.625672818457815,-111.14970816305062
nov1_5_t1_38,389.30232558139534,Tegu,Tegu 1,hi,-0.1405623243780357,-0.09841082497827036,13.897999472619441,9.006042817693213,4.632618672875612,0.019954350793502964,0.031164583262772674,0.005437069605402126,-40.009342354726996,10.743258983542061,-53.45702427459009,-2.276974228298625e-15,9.895219295574628e-16,9.773399445909344e-16,12.268312833346325,4.399579240873799,-110.9234148890236
nov1_5_t1_39,391.64285714285717,Tegu,Tegu 1,hi,-0.1495195173350624,-0.10225095756896899,13.695900425979357,9.340809418255825,4.448103265690263,0.024976483483038076,0.03900812701932514,0.006805475740389963,-39.68931959293036,10.406884854502323,-54.18329803184974,-2.295541721224302e-15,8.919969115021965e-16,9.227460823311407e-16,12.614764388989096,5.1693665142067955,-110.63324398041307
nov1_5_t1_40,394.0,Tegu,Tegu 1,hi,-0.15890028145349555,-0.10610598198371152,13.490979306680481,9.680200557232999,4.261232172258856,0.030053759075489798,0.046937791866051785,0.008188906313955573,-39.36430027290922,10.071269819355777,-54.75850904361512,-2.3382025888094866e-15,7.731521042701605e-16,8.8484230739003e-16,12.944446695385185,5.948924217286143,-110.24573004447169
nov1_5_t1_41,396.3488372093023,Tegu,Tegu 1,hi,-0.16873950566132245,-0.10996931734906865,13.283657116089698,10.023513668256719,4.072418457832965,0.035170934470314275,0.05492977095338917,0.00958320827254354,-39.04300567566361,9.741883238737335,-55.158802905551205,-2.3957594887344105e-15,6.517544340467368e-16,8.683105635945836e-16,13.24599412473983,6.733445665922869,-109.7242490313118
nov1_5_t1_42,398.69767441860466,Tegu,Tegu 1,hi,-0.179163254236669,-0.11389579190357739,13.071422261940196,10.374908582387366,3.87937768587557,0.040390122082113095,0.06308107130174229,0.011005306111517453,-38.72675562528969,9.417040815913383,-55.397960076988575,-2.455106457886685e-15,5.464659920187795e-16,8.680113937769144e-16,13.517907559929212,7.524826362576162,-109.04901853438277
nov1_5_t1_43,401.04651162790697,Tegu,Tegu 1,hi,-0.1903040972542784,-0.1179336408455002,12.852122070574964,10.73794553219169,3.6801777393245083,0.04576568685554776,0.07147660016670528,0.012470013296715756,-38.415674583535534,9.095779851325823,-55.48153273040013,-2.505114906675868e-15,4.739047011756192e-16,8.763771889357632e-16,13.758026954776273,8.319456159621819,-108.20214125355936
nov1_5_t1_44,403.3953488372093,Tegu,Tegu 1,hi,-0.2023265044848032,-0.1221424853188504,12.623248310985945,11.116769833229068,3.4725836952758593,0.051363051282037935,0.08021853470387007,0.013995156181873187,-38.10768166972704,8.777621990553182,-55.4136601833575,-2.5361800789828164e-15,4.479670401816697e-16,8.840969098743533e-16,13.965685763773038,9.110098149146019,-107.17105159403475
nov1_5_t1_45,405.74418604651163,Tegu,Tegu 1,hi,-0.21528183356095182,-0.12656167479686298,12.3837012494098,11.51320052516405,3.2556163350499947,0.05721641294270121,0.08936028530573234,0.01559005291180871,-37.79856689411617,8.463410594688812,-55.213562097859175,-2.544250573069459e-15,4.68278583916344e-16,8.833796026861157e-16,14.146285960273165,9.887413576774176,-105.97565577416299
nov1_5_t1_46,408.09302325581393,Tegu,Tegu 1,hi,-0.22924326451390883,-0.13123515959841228,12.132412050222717,11.929001286377886,3.028349058936375,0.06335960201152227,0.09895468858713607,0.017263921447358863,-37.48307918305641,8.156622509512365,-54.887022327699455,-2.5271763701113316e-15,5.249545812804698e-16,8.692533983055091e-16,14.305648242002674,10.64024590860856,-104.63653245842418
nov1_5_t1_47,410.45238095238096,Tegu,Tegu 1,hi,-0.2443176537234104,-0.1362240783623638,11.867817012033747,12.36675331257339,2.7894204679052907,0.06983987670069258,0.10907555297699305,0.019029638456106147,-37.15336412612277,7.862552438005728,-54.43078549129179,-2.484865819386714e-15,5.946957092862256e-16,8.395964531346199e-16,14.452652987981994,11.359192938893568,-103.17840016140576
nov1_5_t1_48,412.7906976744186,Tegu,Tegu 1,hi,-0.2602003042969533,-0.14146039938719188,11.595039413319247,12.81798067880076,2.5434772657700253,0.07653933314277878,0.11953873701340227,0.020855077792966584,-36.80882069030226,7.592383120639223,-53.85386591019741,-2.4225382693371427e-15,6.448436807448664e-16,7.973503624500449e-16,14.595527079157046,12.026783075667948,-101.66546034766137
nov1_5_t1_49,415.13953488372096,Tegu,Tegu 1,hi,-0.2770187635784859,-0.1470179014604719,11.312074776439507,13.28599594967446,2.288756239610499,0.08351457530261709,0.13043264459855547,0.022755662421185915,-36.439506054983624,7.35177953408783,-53.13694955550216,-2.344967312008848e-15,6.44907621961845e-16,7.461569822859634e-16,14.745843731677843,12.643996702160369,-100.1147501708245
nov1_5_t1_50,417.48837209302326,Tegu,Tegu 1,hi,-0.2945550768406638,-0.15285867474248577,11.022705554249606,13.764541149135937,2.02870301862734,0.09067799391802348,0.14162044752344524,0.02470752060261809,-36.04284667452215,7.150928415814329,-52.269013918756755,-2.260564068643595e-15,5.71895502822215e-16,6.925577175147896e-16,14.912094887923676,13.20336864845709,-98.56692081079284
nov1_5_t1_51,419.86046511627904,Tegu,Tegu 1,hi,-0.3127725432012019,-0.15900138320754836,10.727284551338476,14.253035338923569,1.763647189482586,0.0980230099063378,0.1530918697432371,0.026708859315766893,-35.61361924088316,6.992887811631126,-51.236625827283575,-2.1773481677859432e-15,4.213995774797995e-16,6.429919606575621e-16,15.102335883706136,13.71224593148037,-97.03017261227698
nov1_5_t1_52,422.2093023255814,Tegu,Tegu 1,hi,-0.3311013794963601,-0.1652866473733079,10.434948997529748,14.736370484209878,1.5018129476968178,0.10532535917984956,0.16449665527397506,0.028698571637474406,-35.15906085275089,6.885150721583353,-50.053736545647176,-2.1048112766137267e-15,2.0602801254216736e-16,6.051433452317446e-16,15.318058744559693,14.162617292436375,-95.54844204504889
nov1_5_t1_53,424.5581395348837,Tegu,Tegu 1,hi,-0.3494542003337744,-0.17170590267718583,10.146486494282225,15.213251178676183,1.2438853636335374,0.11256588928323966,0.17580489072519398,0.030671438709011293,-34.677329141352445,6.823814566280346,-48.726393349207775,-2.047043483379395e-15,-4.732189604426166e-17,5.831510726030998e-16,15.562130604630081,14.567281356479722,-94.10820026342512
nov1_5_t1_54,426.90697674418607,Tegu,Tegu 1,hi,-0.3675594832450564,-0.17817683910100462,9.8654508814816,15.67781027354873,0.9930055494487628,0.11965606170334676,0.18687829606421014,0.03260333583434848,-34.17243963037648,6.802415189433382,-47.28660933386354,-2.004921442809045e-15,-3.052796000001262e-16,5.788623736495063e-16,15.832636709335665,14.93527694822766,-92.70299843098483
nov1_5_t1_55,429.23809523809524,Tegu,Tegu 1,hi,-0.3849678670983125,-0.18455192684240654,9.598159935358966,16.11961113604452,0.7547829560009711,0.1264395695190804,0.1974727510926175,0.03445167322256021,-33.65209183740515,6.813580031689177,-45.78771781832515,-1.976412932534112e-15,-5.348572735386831e-16,5.926732778328204e-16,16.124859604671574,15.27091830088154,-91.33460825660858
nov1_5_t1_56,431.6046511627907,Tegu,Tegu 1,hi,-0.4017680950059107,-0.19086068694327757,9.342323555694964,16.542448747330862,0.5271094405271437,0.13297578225038348,0.20768097891707893,0.036232627827084724,-33.11004342417906,6.845926887656583,-44.25634789033834,-1.953973979381581e-15,-7.213105888268799e-16,6.222088187708282e-16,16.439697880103665,15.589735883022898,-89.96047703521619
nov1_5_t1_57,433.95238095238096,Tegu,Tegu 1,hi,-0.4172828020512216,-0.19683826789528833,9.107392519475717,16.930712043777422,0.31832422440688535,0.13902464495022962,0.21712806330984544,0.03788079102915687,-32.56382225040354,6.8873489156139565,-42.790469442683715,-1.9292427681567627e-15,-8.554852866790034e-16,6.630235835004157e-16,16.763556293168445,15.890029741346167,-88.6034986987461
nov1_5_t1_58,436.3095238095238,Tegu,Tegu 1,hi,-0.4313295503746141,-0.20240307629394944,8.89535455406086,17.281123472759788,0.13012835793852828,0.14453880010953493,0.2257400423431828,0.03938325954045037,-32.01120894778391,6.927365388064254,-41.44230468043367,-1.89118924316568e-15,-9.454287190351897e-16,7.113101656328431e-16,17.09337300753626,16.178543365266233,-87.24233487691343
nov1_5_t1_59,438.6511627906977,Tegu,Tegu 1,hi,-0.44357920416223845,-0.20739022316867928,8.710483454456114,17.586628312077767,-0.03377509582763513,0.14940349511748968,0.2333376970832251,0.040708766658593666,-31.461708283357908,6.9567999200167,-40.27378105444373,-1.832259554232174e-15,-1.01007370694876e-15,7.610240431217661e-16,17.417985424101804,16.45483397479929,-85.89075965616591
nov1_5_t1_60,441.0,Tegu,Tegu 1,hi,-0.45399239348924253,-0.21175110949975562,8.552921141154867,17.846997704377344,-0.17333184352354797,0.15361033379495662,0.23990791531007405,0.041855025030609,-30.91207217850975,6.970473178816287,-39.30631759644321,-1.747831998195255e-15,-1.069122274791473e-15,8.072153448517361e-16,17.73347429558966,16.722247893381148,-84.53937210093713
nov1_5_t1_61,443.3488372093023,Tegu,Tegu 1,hi,-0.46230329103804196,-0.21534588707486133,8.426374617701383,18.056109917041248,-0.285315499627955,0.15705605425997168,0.2452894238772076,0.042793898713883394,-30.365084947251823,6.964681606144738,-38.57345146719151,-1.6382021747750732e-15,-1.1373663077453603e-15,8.428588164133923e-16,18.0304370913247,16.978840907991366,-83.20095402487594
nov1_5_t1_62,445.69767441860466,Tegu,Tegu 1,hi,-0.4686510907279495,-0.21818687203024745,8.328743116535675,18.217439652205684,-0.3716464813916218,0.15977866508456037,0.24954158463662196,0.04353574411293655,-29.820539332083886,6.9416851699931055,-38.05464163040692,-1.5135257493637809e-15,-1.2183890922546698e-15,8.619908826000554e-16,18.30311750893813,17.224268503377882,-81.88573107844739
nov1_5_t1_63,448.04761904761904,Tegu,Tegu 1,hi,-0.47314314690676124,-0.22028276885504983,8.258544795808076,18.333437305932257,-0.433675799051798,0.16180089537230585,0.2526998956969162,0.04408675422836411,-29.277556565774468,6.905370804770962,-37.727639414031934,-1.3877814771360667e-15,-1.3040027849448322e-15,8.583395573182812e-16,18.545408261851343,17.457310435816243,-80.60620792223862
